Subscription Opened Ts,Is Free Trial At Signup,Subscription Closed Ts,Is Customer Initiated Cancel,Signup Plan Category,Signup Max Concurrent Streams,Signup Max Streaming Quality,Plan Change Date,Plan Change Old Category,Plan Change Old Max Concurrent Streams,Plan Change Old Max Streaming Quality,Plan Change New Category,Plan Change New Max Concurrent Streams,Plan Change New Max Streaming Quality,Cancellation Reason
2014-04-23 02:32:39.745+0000,1,2022-07-02 10:00:51.645,1,STREAMING ONLY,2,HD,20180213,STREAMING ONLY,4,UHD,STREAMING ONLY,2,HD,VOL_CUSTOMER
2014-04-23 02:32:39.745+0000,1,2022-07-02 10:00:51.645,1,STREAMING ONLY,2,HD,20180213,STREAMING ONLY,2,HD,STREAMING ONLY,4,UHD,VOL_CUSTOMER
